feature,clf_importance,reg_importance
cat__airport_SGF,0.0,0.0
cat__airport_SGU,0.0,0.0
cat__airport_SHD,0.0,0.0
cat__airport_SHR,0.0,0.0
cat__airport_SHV,0.0,0.0
cat__airport_SIT,0.0,0.0
cat__airport_SJC,0.0,0.0
cat__airport_SJT,0.0,0.0
cat__airport_SJU,0.0,0.0
cat__airport_SLC,0.0,0.0
cat__airport_SLN,0.0,0.0
cat__airport_SMF,0.0,4.5484954e-05
cat__airport_SMX,0.0,0.0
cat__airport_SNA,3.9330203e-05,0.0
cat__airport_SPI,0.0,0.0
cat__airport_SPN,0.0,0.0
cat__airport_SPS,0.0,0.0
cat__airport_SRQ,0.0,3.9045473e-05
cat__airport_STC,0.0,0.0
cat__airport_STL,0.0,0.0
cat__airport_STS,0.0,0.0
cat__airport_STT,0.0,0.0
cat__airport_STX,0.0,0.0
cat__airport_SUN,0.0,0.0
cat__airport_SUX,0.0,0.0
cat__airport_SWF,0.0,0.0
cat__airport_SWO,0.0,0.0
cat__airport_SYR,0.0,0.0
cat__airport_TBN,0.0,0.0
cat__airport_TLH,0.0,0.0
cat__airport_TOL,0.0,0.0
cat__airport_TPA,0.0,0.0
cat__airport_TRI,0.0,0.0
cat__airport_TTN,0.0,0.0
cat__airport_TUL,0.0,0.0
cat__airport_TUS,3.6707454e-05,0.0
cat__airport_TVC,0.0,0.0001556923
cat__airport_TWF,0.0,0.0
cat__airport_TXK,0.0,0.0
cat__airport_TYR,0.0,0.0
cat__airport_TYS,0.0,0.0
cat__airport_UIN,0.0,0.0
cat__airport_USA,0.0,0.0
cat__airport_UST,0.0,0.0
cat__airport_VCT,0.0,0.0
cat__airport_VEL,0.0,0.0
cat__airport_VLD,0.0,0.0
cat__airport_VPS,0.0,0.0
cat__airport_WRG,0.0,0.0
cat__airport_WYS,0.0,0.0
cat__airport_XNA,0.0,0.0
cat__airport_XWA,0.0,0.00019525166
cat__airport_YAK,0.0,0.0
cat__airport_YKM,0.0,0.0
cat__airport_YUM,0.0,0.0
"cat__airport_name_Aberdeen, SD: Aberdeen Regional",0.0,0.0
"cat__airport_name_Abilene, TX: Abilene Regional",0.0,0.0
"cat__airport_name_Adak Island, AK: Adak",0.0,0.0
"cat__airport_name_Aguadilla, PR: Rafael Hernandez",7.051672e-05,0.0
"cat__airport_name_Akron, OH: Akron-Canton Regional",0.0,0.0
"cat__airport_name_Alamosa, CO: San Luis Valley Regional/Bergman Field",0.0,0.0
"cat__airport_name_Albany, GA: Southwest Georgia Regional",0.0,0.0
"cat__airport_name_Albany, NY: Albany International",0.0,0.0
"cat__airport_name_Albuquerque, NM: Albuquerque International Sunport",0.0,0.0
"cat__airport_name_Alexandria, LA: Alexandria International",0.0,0.0
"cat__airport_name_Allentown/Bethlehem/Easton, PA: Lehigh Valley International",0.0,0.0
"cat__airport_name_Alpena, MI: Alpena County Regional",0.0,0.0
"cat__airport_name_Amarillo, TX: Rick Husband Amarillo International",0.0,0.0
"cat__airport_name_Anchorage, AK: Ted Stevens Anchorage International",0.0,0.0
"cat__airport_name_Appleton, WI: Appleton International",0.0,0.0
"cat__airport_name_Arcata/Eureka, CA: California Redwood Coast Humboldt County",0.0,0.0
"cat__airport_name_Asheville, NC: Asheville Regional",0.0,0.0
"cat__airport_name_Ashland, WV: Tri-State/Milton J. Ferguson Field",0.0,0.0
"cat__airport_name_Aspen, CO: Aspen Pitkin County Sardy Field",0.0,0.0
"cat__airport_name_Atlanta, GA: Hartsfield-Jackson Atlanta International",0.0,0.0
"cat__airport_name_Atlantic City, NJ: Atlantic City International",0.0,0.0
"cat__airport_name_Augusta, GA: Augusta Regional at Bush Field",0.0,0.0
"cat__airport_name_Austin, TX: Austin - Bergstrom International",0.0,0.0
"cat__airport_name_Bakersfield, CA: Meadows Field",0.0,0.0
"cat__airport_name_Baltimore, MD: Baltimore/Washington International Thurgood Marshall",0.0,0.0
"cat__airport_name_Bangor, ME: Bangor International",0.0,0.0
"cat__airport_name_Barrow, AK: Wiley Post/Will Rogers Memorial",0.0,0.0
"cat__airport_name_Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",0.0,0.0
"cat__airport_name_Beaumont/Port Arthur, TX: Jack Brooks Regional",0.0,0.0
"cat__airport_name_Belleville, IL: Scott AFB MidAmerica St Louis",0.0,0.0
"cat__airport_name_Belleville, IL: Scott AFB/MidAmerica",0.0,0.0
"cat__airport_name_Bellingham, WA: Bellingham International",4.2914704e-05,0.0
"cat__airport_name_Bemidji, MN: Bemidji Regional",0.0,0.0
"cat__airport_name_Bend/Redmond, OR: Roberts Field",0.0,0.0
"cat__airport_name_Bethel, AK: Bethel Airport",0.0,0.0
"cat__airport_name_Billings, MT: Billings Logan International",3.8341375e-05,0.0
"cat__airport_name_Binghamton, NY: Greater Binghamton/Edwin A. Link Field",0.0,0.0
"cat__airport_name_Birmingham, AL: Birmingham-Shuttlesworth International",0.0,0.0
"cat__airport_name_Bishop, CA: Bishop Airport",0.0,0.0
"cat__airport_name_Bismarck/Mandan, ND: Bismarck Municipal",0.0,0.0
"cat__airport_name_Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",0.0,0.0
"cat__airport_name_Boise, ID: Boise Air Terminal",0.0,0.0
"cat__airport_name_Boston, MA: Logan International",0.0,0.0
"cat__airport_name_Bozeman, MT: Bozeman Yellowstone International",0.0,0.0
"cat__airport_name_Brainerd, MN: Brainerd Lakes Regional",0.0,0.0
"cat__airport_name_Branson, MO: Branson Airport",0.0,0.0
"cat__airport_name_Bristol/Johnson City/Kingsport, TN: Tri Cities",0.0,0.0
"cat__airport_name_Brownsville, TX: Brownsville South Padre Island International",0.0,0.0
"cat__airport_name_Brunswick, GA: Brunswick Golden Isles",0.0,0.0
"cat__airport_name_Buffalo, NY: Buffalo Niagara International",0.0,0.0
"cat__airport_name_Bullhead City, AZ: Laughlin/Bullhead International",0.0,0.0
"cat__airport_name_Burbank, CA: Bob Hope",0.0,0.0
"cat__airport_name_Burlington, VT: Burlington International",0.0,0.0
"cat__airport_name_Butte, MT: Bert Mooney",0.0,0.0
"cat__airport_name_Cape Girardeau, MO: Cape Girardeau Regional",0.0,0.0
"cat__airport_name_Carlsbad, CA: McClellan-Palomar",0.0,0.0
"cat__airport_name_Casper, WY: Casper/Natrona County International",0.0,0.0
"cat__airport_name_Cedar City, UT: Cedar City Regional",0.0,0.0
"cat__airport_name_Cedar Rapids/Iowa City, IA: The Eastern Iowa",0.0,0.0
"cat__airport_name_Champaign/Urbana, IL: University of Illinois/Willard",0.0,0.0
"cat__airport_name_Charleston, SC: Charleston AFB/International",0.0,0.0
"cat__airport_name_Charleston/Dunbar, WV: West Virginia International Yeager",0.0,0.0
"cat__airport_name_Charleston/Dunbar, WV: Yeager",0.0,0.0
"cat__airport_name_Charlotte Amalie, VI: Cyril E King",0.0,0.0
"cat__airport_name_Charlotte, NC: Charlotte Douglas International",0.0,0.0
"cat__airport_name_Charlottesville, VA: Charlottesville Albemarle",0.0,0.0
"cat__airport_name_Chattanooga, TN: Lovell Field",0.0,0.0
"cat__airport_name_Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",0.0,0.0
"cat__airport_name_Chicago, IL: Chicago Midway International",0.0,0.0
"cat__airport_name_Chicago, IL: Chicago O'Hare International",0.0,0.0
