ident,name,municipality,iso_region,iata_code,local_code,latitude_deg,longitude_deg,faa_code
2NY8,Benbyre Farm Heliport,Alligerville,US-NY,,2NY8,41.80339813232422,-74.18289947509766,2NY8
2NY9,Kayutah Lake/James & Helene D Allen Memorial Airport,Alpine,US-NY,,2NY9,42.367811,-76.724406,2NY9
2OA1,Bristol Airstrip,Bristolville,US-OH,,2OA1,41.41510009765625,-80.8843002319336,2OA1
2OA2,Mackie's Airport,Midland,US-OH,,2OA2,39.247897,-83.916378,2OA2
2OA3,Sawmill Creek Resort Heliport,Huron,US-OH,,2OA3,41.409698486328125,-82.5967025756836,2OA3
2OA4,Victory Field,Bethel Township,US-OH,,2OA4,39.931391,-83.908863,2OA4
2OA5,Fl-Airfield,Marysville,US-OH,,2OA5,40.182498931884766,-83.35089874267578,2OA5
2OA6,Hilltop Airport,Cambridge,US-OH,,2OA6,40.08649826049805,-81.58820343017578,2OA6
2OA7,Utter Field,Felicity,US-OH,,2OA7,38.85139847,-84.10559845,2OA7
2OG2,Erickson Air-Crane Whetstone Heliport,Central Point,US-OR,,2OG2,42.429861,-122.906671,2OG2
2OG3,Wiley's Seaplane Base,Lake Oswego,US-OR,,2OG3,45.430999755859375,-122.6500015258789,2OG3
2OG4,El Rancho Airport,Fields,US-OR,,2OG4,42.331487,-118.650614,2OG4
2OH0,Bohannan Airport,Kilbourne,US-OH,,2OH0,40.34432,-82.937175,2OH0
2OH1,Magruder Memorial Heliport,Port Clinton,US-OH,,2OH1,41.50559997558594,-82.93270111083984,2OH1
2OH3,Adams County Regional Medical Center Heliport,Seaman,US-OH,,2OH3,38.933869,-83.58339,2OH3
2OH4,Cedar Creek Airport,Shauck,US-OH,,2OH4,40.6245002746582,-82.635498046875,2OH4
2OH5,Dayton Children's Hospital Heliport,Dayton,US-OH,,2OH5,39.77336,-84.16976,2OH5
2OH6,Smith Field Airport,Troy,US-OH,,2OH6,40.012001,-84.281303,2OH6
2OH7,Jbr Airport,Hamersville,US-OH,,2OH7,38.911201477051,-84.026000976562,2OH7
2OH8,Port-O-John Airport,Derby,US-OH,,2OH8,39.7952995300293,-83.22319793701172,2OH8
2OH9,Caesar Creek Soaring Club Gliderport,Waynesville,US-OH,,2OH9,39.4767,-84.093803,2OH9
2OI2,Air Jordan Airport,Waynesville,US-OH,,2OI2,39.56110000610352,-84.0519027709961,2OI2
2OI3,Railway Stop Heliport,Walbridge,US-OH,,2OI3,41.56779861450195,-83.52799987792969,2OI3
2OI4,Aero Lake Farm Airport,Westfield Center,US-OH,,2OI4,41.0452995300293,-81.9365005493164,2OI4
2OI5,West Chester Hospital Heliport,West Chester,US-OH,,OH11,39.358282,-84.369059,OH11
2OI6,Park Medical Center Heliport,Columbus,US-OH,,2OI6,39.97029876708984,-82.96240234375,2OI6
2OI7,Worthington Industries Heliport,Columbus,US-OH,,2OI7,40.11199951171875,-82.98159790039062,2OI7
2OI8,K & D Airways Airport,Mansfield,US-OH,,2OI8,40.86389923095703,-82.42060089111328,2OI8
2OI9,Comprix Heliport,Groveport,US-OH,,2OI9,39.839500427246094,-82.90769958496094,2OI9
2OK,Alaska Regional Hospital Heliport,Anchorage,US-AK,,2OK,61.212693,-149.826608,2OK
