airport,lat,lon,year,month,temp_mean,temp_min,temp_max,precip_sum,windspeed_max
TOL,41.5868,-83.8078,2022,9,18.851612903225806,5.4,31.1,43.6,33.7
BGR,44.8074,-68.828102,2015,8,20.925,13.8,31.9,80.7,22.4
MKG,43.169498,-86.238197,2018,9,18.15161290322581,6.7,28.5,100.30000000000001,33.3
COS,38.805801,-104.700996,2018,5,16.021874999999998,0.6,31.6,36.3,33.9
SGF,37.245701,-93.388603,2020,5,16.5875,1.3,28.3,170.1,29.4
PHF,37.131901,-76.492996,2016,1,4.109375,-7.3,19.3,97.4,51.2
MHT,42.932598,-71.435699,2014,7,22.853125000000002,14.1,35.8,129.5,26.4
ITO,19.721399,-155.048004,2017,11,22.76129032258064,19.4,28.2,302.2,23.6
VEL,40.436214,-109.511661,2014,3,4.953125,-5.4,17.2,27.5,47.9
PUB,38.289101,-104.497002,2017,12,1.0250000000000001,-15.4,19.5,1.6,51.0
TLH,30.3965,-84.350304,2023,6,25.70967741935484,17.8,37.2,215.89999999999995,21.7
GSP,34.895699,-82.218903,2015,2,2.362068965517241,-10.0,16.8,85.10000000000002,27.0
CWA,44.777448,-89.670238,2020,12,-4.059375,-16.1,8.4,17.200000000000003,28.9
CLD,33.1283,-117.279999,2014,6,19.10645161290323,13.6,26.7,0.0,19.6
MAF,31.942499,-102.202003,2013,12,5.7,-9.5,24.8,56.50000000000001,45.8
IND,39.7173,-86.294403,2015,7,22.871875000000003,14.5,31.8,82.3,26.1
MYR,33.679699,-78.928299,2016,3,16.4375,4.2,26.4,123.5,28.1
SNA,33.675701,-117.867996,2014,11,17.46129032258065,9.6,29.0,13.3,19.5
SGU,37.036389,-113.510306,2016,6,31.45161290322581,17.2,41.9,3.8,25.6
CRP,27.770399,-97.501198,2015,8,28.85,21.9,36.2,77.6,26.4
IDA,43.514599,-112.070999,2016,7,24.068749999999998,8.6,35.7,4.699999999999999,37.8
CLL,30.5886,-96.3638,2015,7,29.046875,21.1,37.0,9.5,22.5
BOS,42.36197,-71.0079,2023,8,21.009375,12.2,29.7,144.3,28.2
HDN,40.481201,-107.218002,2018,8,19.303125,6.3,32.5,18.299999999999997,33.7
DRO,37.151501,-107.753998,2013,8,20.421875,10.1,31.5,34.2,18.7
ACV,40.978101,-124.109,2018,10,12.290625,4.2,23.6,25.3,26.8
PRC,34.654499,-112.419998,2019,2,1.5482758620689654,-14.5,15.3,81.3,36.5
PIA,40.6642,-89.693298,2019,1,-5.6812499999999995,-30.8,13.8,70.4,35.3
MKE,42.947201,-87.896599,2016,4,5.403225806451614,-4.3,16.5,66.5,37.8
SCE,40.849374,-77.84852,2021,3,4.85625,-8.7,20.3,71.6,41.0
SDF,38.1744,-85.736,2018,12,4.7093750000000005,-6.3,18.5,131.10000000000002,35.0
FOE,38.950901,-95.663597,2014,7,24.80625,12.0,37.3,22.099999999999998,29.5
ROW,33.301601,-104.530998,2020,7,31.490625,21.0,43.0,3.5,34.1
ITO,19.721399,-155.048004,2019,9,25.341935483870966,21.1,29.2,204.50000000000003,19.8
SPN,15.119,145.729004,2018,6,27.27419354838709,24.8,29.7,336.3,36.5
MGM,32.300598,-86.393997,2021,3,15.956249999999999,2.3,27.6,138.29999999999998,38.0
GUM,13.485,144.797282,2020,10,26.471874999999997,23.3,31.0,501.30000000000007,30.0
MSP,44.880081,-93.221741,2018,4,1.9451612903225806,-15.7,25.0,58.10000000000001,31.6
LIH,21.976,-159.339005,2020,7,24.678125,21.5,28.0,212.4,38.7
ANC,61.179004,-149.992561,2016,3,-0.12499999999999994,-8.0,8.3,49.599999999999994,17.0
EWR,40.692501,-74.168701,2022,8,25.631249999999998,16.5,38.3,66.6,26.3
SPI,39.844101,-89.677902,2014,4,11.906451612903224,-2.1,25.0,94.99999999999997,35.4
MKG,43.169498,-86.238197,2015,3,-0.440625,-15.5,14.9,29.699999999999996,32.7
UST,29.9592,-81.339798,2014,8,27.459375,22.4,32.2,112.70000000000002,32.4
BQN,18.4949,-67.129402,2019,5,25.609375,23.8,27.3,129.9,40.0
LYH,37.326698,-79.200401,2020,9,19.193548387096772,4.8,32.6,96.9,19.4
SGF,37.245701,-93.388603,2016,4,15.122580645161289,1.9,27.1,131.6,32.8
IMT,45.81911,-88.114557,2015,9,17.39032258064516,4.9,29.3,117.60000000000001,20.7
TRI,36.475201,-82.407401,2013,11,5.903225806451612,-6.0,19.8,109.4,25.2
RDM,44.254101,-121.150002,2021,4,8.838709677419354,-3.1,27.1,26.7,32.5
MOB,30.6912,-88.242798,2022,5,24.140625,15.1,33.6,239.0,26.1
TYS,35.811001,-83.994003,2020,11,10.738709677419354,-1.4,26.4,49.199999999999996,33.1
SAF,35.6171,-106.088997,2021,7,22.618750000000002,14.0,34.7,42.5,46.7
PNS,30.4734,-87.1866,2022,8,26.365625,21.9,33.3,255.09999999999997,19.2
EAR,40.727001,-99.006798,2021,3,6.78125,-4.7,23.2,141.90000000000003,40.7
BUF,42.940498,-78.732201,2015,10,10.553125000000001,-0.6,22.2,79.30000000000001,41.1
TRI,36.475201,-82.407401,2019,1,2.934375,-12.9,17.7,106.69999999999999,29.8
LEX,38.036499,-84.605904,2023,3,7.490625,-7.2,23.9,142.5,41.8
BQN,18.4949,-67.129402,2021,10,27.034374999999997,24.5,29.5,101.8,45.6
STT,18.337091,-64.977251,2017,4,25.55161290322581,23.3,26.6,89.9,42.0
JAN,32.311199,-90.075897,2020,12,8.884375,-3.2,21.5,120.2,29.2
AKN,58.677845,-156.651965,2014,6,10.238709677419354,3.7,19.5,65.7,28.9
SGU,37.036389,-113.510306,2021,10,15.875,2.2,31.2,44.8,29.8
MAF,31.942499,-102.202003,2019,5,21.428125,7.4,34.0,99.8,42.0
BFL,35.433601,-119.056999,2017,5,23.440624999999997,10.4,40.4,3.8,28.5
GSO,36.097801,-79.937302,2021,5,19.515625,6.4,32.7,43.8,31.4
ECP,30.357106,-85.795414,2016,1,10.834375,-0.2,21.2,125.3,37.9
GFK,47.949299,-97.176102,2019,8,19.68125,10.0,31.5,52.0,34.2
ABE,40.651773,-75.442797,2017,8,21.4875,11.0,31.3,76.5,22.7
HGR,39.708771,-77.728014,2018,6,21.132258064516126,9.4,33.3,181.60000000000002,22.4
MSN,43.1399,-89.337502,2015,8,21.46875,12.5,32.8,82.6,34.2
ACV,40.978101,-124.109,2020,11,8.625806451612904,0.8,17.4,106.2,32.5
ERI,42.083127,-80.173867,2018,9,19.919354838709673,9.9,31.1,172.1,34.7
ABQ,35.039976,-106.608925,2020,4,15.416129032258066,-1.3,31.4,15.1,36.6
LEX,38.036499,-84.605904,2016,5,16.696875,4.1,30.2,141.2,21.4
HDN,40.481201,-107.218002,2018,10,5.05,-12.3,22.4,84.30000000000001,23.6
ROA,37.3255,-79.975403,2020,8,23.459375,15.9,33.1,179.7,20.7
ROA,37.3255,-79.975403,2014,7,23.190625000000004,11.7,34.9,111.3,25.6
JAN,32.311199,-90.075897,2023,1,11.565625,-1.5,24.2,204.99999999999997,35.1
VPS,30.4832,-86.525398,2022,5,23.859375,14.7,30.1,216.2,33.3
CAE,33.938801,-81.119499,2015,8,27.196875,19.9,37.6,92.1,16.9
MLB,28.1028,-80.645302,2016,7,28.15625,24.0,33.4,98.5,19.1
ROW,33.301601,-104.530998,2021,12,11.409375,-2.8,25.6,1.1,59.6
STL,38.748697,-90.370003,2019,8,24.390625,17.0,34.1,293.8,20.4
GRB,44.483459,-88.130805,2014,2,-12.324137931034485,-26.8,3.8,30.200000000000003,39.4
DAY,39.902401,-84.219398,2017,2,5.23448275862069,-9.7,21.6,90.69999999999999,38.2
SMX,34.898899,-120.457001,2020,11,13.903225806451612,2.4,35.0,13.4,29.4
